date_tirage;regime;position;numero;type
2004-02-13;2004-2011 : 50 boules / 9 etoiles;boule_2;16;boule
2004-02-13;2004-2011 : 50 boules / 9 etoiles;boule_3;29;boule
2004-02-13;2004-2011 : 50 boules / 9 etoiles;boule_1;32;boule
2004-02-13;2004-2011 : 50 boules / 9 etoiles;boule_5;36;boule
2004-02-13;2004-2011 : 50 boules / 9 etoiles;boule_4;41;boule
2004-02-13;2004-2011 : 50 boules / 9 etoiles;etoile_2;7;etoile
2004-02-13;2004-2011 : 50 boules / 9 etoiles;etoile_1;9;etoile
2004-02-20;2004-2011 : 50 boules / 9 etoiles;boule_4;7;boule
2004-02-20;2004-2011 : 50 boules / 9 etoiles;boule_1;13;boule
2004-02-20;2004-2011 : 50 boules / 9 etoiles;boule_5;39;boule
2004-02-20;2004-2011 : 50 boules / 9 etoiles;boule_3;47;boule
2004-02-20;2004-2011 : 50 boules / 9 etoiles;boule_2;50;boule
2004-02-20;2004-2011 : 50 boules / 9 etoiles;etoile_1;2;etoile
2004-02-20;2004-2011 : 50 boules / 9 etoiles;etoile_2;5;etoile
2004-02-27;2004-2011 : 50 boules / 9 etoiles;boule_4;14;boule
2004-02-27;2004-2011 : 50 boules / 9 etoiles;boule_3;18;boule
2004-02-27;2004-2011 : 50 boules / 9 etoiles;boule_2;19;boule
2004-02-27;2004-2011 : 50 boules / 9 etoiles;boule_5;31;boule
2004-02-27;2004-2011 : 50 boules / 9 etoiles;boule_1;37;boule
2004-02-27;2004-2011 : 50 boules / 9 etoiles;etoile_2;4;etoile
2004-02-27;2004-2011 : 50 boules / 9 etoiles;etoile_1;5;etoile
2004-03-05;2004-2011 : 50 boules / 9 etoiles;boule_3;4;boule
2004-03-05;2004-2011 : 50 boules / 9 etoiles;boule_4;7;boule
2004-03-05;2004-2011 : 50 boules / 9 etoiles;boule_5;33;boule
2004-03-05;2004-2011 : 50 boules / 9 etoiles;boule_2;37;boule
2004-03-05;2004-2011 : 50 boules / 9 etoiles;boule_1;39;boule
2004-03-05;2004-2011 : 50 boules / 9 etoiles;etoile_2;1;etoile
2004-03-05;2004-2011 : 50 boules / 9 etoiles;etoile_1;5;etoile
2004-03-12;2004-2011 : 50 boules / 9 etoiles;boule_3;15;boule
2004-03-12;2004-2011 : 50 boules / 9 etoiles;boule_5;24;boule
2004-03-12;2004-2011 : 50 boules / 9 etoiles;boule_4;28;boule
2004-03-12;2004-2011 : 50 boules / 9 etoiles;boule_1;44;boule
2004-03-12;2004-2011 : 50 boules / 9 etoiles;boule_2;47;boule
2004-03-12;2004-2011 : 50 boules / 9 etoiles;etoile_1;4;etoile
2004-03-12;2004-2011 : 50 boules / 9 etoiles;etoile_2;5;etoile
2004-03-19;2004-2011 : 50 boules / 9 etoiles;boule_3;33;boule
2004-03-19;2004-2011 : 50 boules / 9 etoiles;boule_5;36;boule
2004-03-19;2004-2011 : 50 boules / 9 etoiles;boule_4;37;boule
2004-03-19;2004-2011 : 50 boules / 9 etoiles;boule_1;42;boule
2004-03-19;2004-2011 : 50 boules / 9 etoiles;boule_2;45;boule
2004-03-19;2004-2011 : 50 boules / 9 etoiles;etoile_2;4;etoile
2004-03-19;2004-2011 : 50 boules / 9 etoiles;etoile_1;9;etoile
2004-03-26;2004-2011 : 50 boules / 9 etoiles;boule_3;3;boule
2004-03-26;2004-2011 : 50 boules / 9 etoiles;boule_4;4;boule
2004-03-26;2004-2011 : 50 boules / 9 etoiles;boule_5;10;boule
2004-03-26;2004-2011 : 50 boules / 9 etoiles;boule_1;23;boule
2004-03-26;2004-2011 : 50 boules / 9 etoiles;boule_2;43;boule
2004-03-26;2004-2011 : 50 boules / 9 etoiles;etoile_1;2;etoile
2004-03-26;2004-2011 : 50 boules / 9 etoiles;etoile_2;4;etoile
2004-04-02;2004-2011 : 50 boules / 9 etoiles;boule_1;4;boule
2004-04-02;2004-2011 : 50 boules / 9 etoiles;boule_3;12;boule
