date_tirage;regime;jour;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;gagnants_5b_2e;gagnants_5b_1e;gagnants_5b_0e;gagnants_4b_2e;gagnants_4b_1e;gagnants_4b_0e;gagnants_3b_2e;gagnants_3b_1e;gagnants_3b_0e;gagnants_2b_2e;gagnants_2b_1e;gagnants_2b_0e;gagnants_1b_2e;rapport_5b_2e;rapport_5b_1e;rapport_5b_0e;rapport_4b_2e;rapport_4b_1e;rapport_4b_0e;rapport_3b_2e;rapport_3b_1e;rapport_3b_0e;rapport_2b_2e;rapport_2b_1e;rapport_2b_0e;rapport_1b_2e;gagnants_non_publies;id_fdj;source
2004-02-13;2004-2011 : 50 boules / 9 etoiles;VENDREDI;32;16;29;41;36;9;7;1;1;5;69;1013;1512;2645;41966;62208;38093;600554;;222455;15000000.0;2236394.8;143957.9;10431.7;319.8;214.3;179.7;50.6;22.8;37.3;11.1;;13.2;False;2004001;euromillions.csv
2004-02-20;2004-2011 : 50 boules / 9 etoiles;VENDREDI;13;50;47;7;39;2;5;0;2;2;44;609;933;2026;27546;38690;30353;398784;;161756;0.0;593567.9;191041.4;8683.7;282.4;184.3;124.5;40.9;19.5;24.8;8.8;;9.6;False;2004002;euromillions.csv
2004-02-27;2004-2011 : 50 boules / 9 etoiles;VENDREDI;37;19;18;14;31;5;4;0;3;1;17;489;627;1407;24520;32967;21225;368594;;114565;0.0;386709.2;373390.3;21964.1;343.7;268.0;175.2;44.9;22.4;34.7;9.3;;13.3;False;2004003;euromillions.csv
2004-03-05;2004-2011 : 50 boules / 9 etoiles;VENDREDI;39;37;4;7;33;5;1;1;2;2;32;486;675;1627;22975;35012;25374;379556;;141099;20678070.0;615169.7;197994.0;12374.6;366.8;264.1;160.7;50.8;22.3;30.8;9.6;;11.4;False;2004004;euromillions.csv
2004-03-12;2004-2011 : 50 boules / 9 etoiles;VENDREDI;44;47;15;28;24;4;5;0;1;2;31;526;717;1322;23112;30541;20265;344383;;110779;0.0;1077922.3;173466.1;11191.3;296.9;217.8;173.3;44.3;22.4;33.8;9.3;;12.7;False;2004005;euromillions.csv
2004-03-19;2004-2011 : 50 boules / 9 etoiles;VENDREDI;42;45;33;37;36;9;4;0;2;2;25;368;569;1190;16888;26253;19264;262760;;108909;0.0;521189.7;167746.3;13419.7;410.4;265.4;186.2;58.6;25.2;34.4;11.8;;12.5;False;2004006;euromillions.csv
2004-03-26;2004-2011 : 50 boules / 9 etoiles;VENDREDI;23;43;3;4;10;2;4;0;1;2;42;559;830;1925;26146;41468;25183;352910;;129560;0.0;1111400.5;178853.6;8516.8;288.0;194.0;122.7;40.3;17.0;28.0;9.4;;11.2;False;2004007;euromillions.csv
2004-04-02;2004-2011 : 50 boules / 9 etoiles;VENDREDI;4;24;12;36;27;2;9;0;10;3;47;672;1034;1877;29456;44586;24588;387579;;121914;0.0;117258.6;125800.0;8029.7;252.8;164.3;132.8;37.8;16.7;30.3;9.0;;12.6;False;2004008;euromillions.csv
2004-04-09;2004-2011 : 50 boules / 9 etoiles;VENDREDI;23;19;10;1;4;2;8;1;4;6;61;844;1590;2567;32958;55189;31708;369527;;146908;25556285.0;279457.2;59962.7;5897.9;191.9;101.8;92.5;32.2;12.8;22.4;9.0;;10.0;False;2004009;euromillions.csv
2004-04-16;2004-2011 : 50 boules / 9 etoiles;VENDREDI;28;40;14;15;35;3;1;0;2;3;31;528;977;1388;22142;36985;18905;310418;;100386;0.0;524993.3;112647.0;10901.3;288.1;155.7;160.8;45.0;18.0;35.3;10.0;;13.7;False;2004010;euromillions.csv
2004-04-23;2004-2011 : 50 boules / 9 etoiles;VENDREDI;45;21;6;49;10;5;3;0;2;4;36;539;702;1800;22987;31169;28618;341516;;157256;0.0;524877.4;84466.6;9385.1;282.1;216.6;123.9;43.3;21.4;23.3;9.1;;8.7;False;2004011;euromillions.csv
2004-04-30;2004-2011 : 50 boules / 9 etoiles;VENDREDI;27;16;6;5;23;7;6;0;6;5;43;871;1033;1937;32963;45716;26899;434362;;129681;0.0;199240.8;76951.4;8947.8;198.8;167.6;131.2;34.4;16.6;28.2;8.2;;12.1;False;2004012;euromillions.csv
2004-05-07;2004-2011 : 50 boules / 9 etoiles;VENDREDI;38;36;15;16;21;1;5;0;3;3;34;640;889;2085;29235;42735;31309;440243;;168356;0.0;466280.2;150073.5;13241.7;316.6;227.9;142.6;45.4;20.8;28.4;9.4;;10.9;False;2004013;euromillions.csv
2004-05-14;2004-2011 : 50 boules / 9 etoiles;VENDREDI;32;3;1;39;21;2;6;1;5;5;46;670;1051;2429;32450;53664;35178;481298;;186414;33816137.0;321318.7;103417.3;11241.0;347.4;221.4;140.6;47.0;19.0;29.0;9.9;;11.3;False;2004014;euromillions.csv
2004-05-21;2004-2011 : 50 boules / 9 etoiles;VENDREDI;37;39;29;15;49;4;9;1;0;2;27;554;810;1736;24007;34163;23860;310459;;131323;10000000.0;0.0;735924.1;13273.1;291.2;199.1;136.3;44.0;20.7;29.7;10.7;;11.1;False;2004015;euromillions.csv
2004-05-28;2004-2011 : 50 boules / 9 etoiles;VENDREDI;41;44;6;35;11;6;5;0;2;0;22;408;578;1316;20801;27868;21038;329379;;112952;0.0;530582.3;0.0;31048.9;376.8;266.0;171.4;48.4;24.2;32.1;9.6;;12.3;False;2004016;euromillions.csv
2004-06-04;2004-2011 : 50 boules / 9 etoiles;VENDREDI;41;42;34;13;9;7;3;1;2;1;41;413;622;2252;20362;29352;34237;309993;;185291;12488171.0;523759.9;337147.1;8223.1;367.5;244.0;98.8;48.8;22.7;19.4;10.0;;7.4;False;2004017;euromillions.csv
