numero;sorties;ecart_a_l_attendu;p_individuelle;absence_max;absence_finale
1;187;-11.1;0.429415;58;1
2;186;-12.1;0.38629;48;4
3;194;-4.1;0.794623;65;8
4;200;1.9;0.90867;56;27
5;203;4.9;0.735064;52;9
6;193;-5.1;0.737128;55;23
7;203;4.9;0.735064;51;1
8;191;-7.1;0.626471;57;6
9;186;-12.1;0.38629;76;8
10;218;19.9;0.14917;56;0
11;193;-5.1;0.737128;60;3
12;198;-0.1;1.0;50;3
13;203;4.9;0.735064;58;2
14;205;6.9;0.626278;52;5
15;201;2.9;0.84979;50;1
16;195;-3.1;0.853166;87;0
17;217;18.9;0.170817;65;2
18;177;-21.1;0.119361;51;0
19;220;21.9;0.112298;43;3
20;203;4.9;0.735064;67;34
21;213;14.9;0.281468;52;17
22;155;-43.1;0.000994;57;0
23;223;24.9;0.071007;46;4
24;201;2.9;0.84979;60;13
25;208;9.9;0.478305;62;12
26;206;7.9;0.574731;70;11
27;206;7.9;0.574731;70;3
28;192;-6.1;0.680983;48;0
29;219;20.9;0.129707;44;9
30;198;-0.1;1.0;59;6
31;187;-11.1;0.429415;60;13
32;179;-19.1;0.160616;47;36
33;174;-24.1;0.073435;44;2
34;199;0.9;0.968144;54;12
35;208;9.9;0.478305;56;2
36;185;-13.1;0.345856;43;15
37;212;13.9;0.315554;44;4
38;201;2.9;0.84979;42;8
39;197;-1.1;0.972114;45;1
40;180;-18.1;0.184851;40;8
41;181;-17.1;0.211645;46;25
42;224;25.9;0.060417;50;5
43;180;-18.1;0.184851;75;35
44;224;25.9;0.060417;48;22
45;209;10.9;0.433722;45;5
46;177;-21.1;0.119361;66;3
47;188;-10.1;0.47514;82;4
48;196;-2.1;0.912439;82;6
49;198;-0.1;1.0;44;9
50;212;13.9;0.315554;54;1
