combinaison;boules_exigees;etoiles_exigees;rang_actuel;tirages;gagnants_medians;part_sans_gagnant;mesurable;effet_gagnants;effet_gagnants_bas;effet_gagnants_haut;effet_gain;effet_gain_bas;effet_gain_haut;rho_gagnants;p_gagnants
2+0;2;0;13;1602;1.12781e+06;0;True;0.0644269;0.0482134;0.0808912;-0.0658389;-0.0690021;-0.062665;0.208213;3.77572e-17
3+0;3;0;10;1980;82817.5;0;True;0.109173;0.092521;0.126079;-0.104827;-0.110076;-0.0995464;0.289935;1.18715e-39
4+0;4;0;7;1980;1832;0;True;0.154091;0.13545;0.173039;-0.138556;-0.146866;-0.130165;0.352966;3.58238e-59
5+0;5;0;3;1980;8;0.00454545;True;0.186998;0.156078;0.218745;-0.176733;-0.200178;-0.152601;0.280284;4.59083e-37
2+1;2;1;12;1980;560812;0;True;0.0607557;0.0446543;0.0771053;-0.0626943;-0.069067;-0.056278;0.161407;5.00974e-13
3+1;3;1;9;1980;39333;0;True;0.108413;0.091256;0.12584;-0.104644;-0.110846;-0.0983987;0.250737;9.15784e-30
4+1;4;1;5;1980;871.5;0;True;0.154491;0.135233;0.174076;-0.139162;-0.147382;-0.130863;0.31029;1.89443e-45
5+1;5;1;2;1980;4;0.0616162;False;;;;;;;0.206138;1.92388e-20
1+2;1;2;11;1980;156774;0;True;0.0112447;-0.00627021;0.0290683;-0.0158431;-0.0265543;-0.00501404;0.0385044;0.0867327
2+2;2;2;8;1980;29649;0;True;0.0554593;0.0371768;0.0740641;-0.0586889;-0.068349;-0.0489288;0.119429;9.82111e-08
3+2;3;2;6;1980;2033.5;0;True;0.0997142;0.0802687;0.11951;-0.0936802;-0.106021;-0.0811694;0.189478;1.84677e-17
4+2;4;2;4;1980;46;0;True;0.143527;0.12003;0.167517;-0.129646;-0.146771;-0.112176;0.227365;1.24365e-24
5+2;5;2;1;1980;0;0.773737;False;;;;;;;0.0544738;0.0153421
